,Dependent_count,Months_on_book (Length of relationship with bansk[months]),Total_Relationship_Count (How many products with customer) ,Months_Inactive_12_mon (Card not used),Contacts_Count_12_mon (Number of contacts in 12 months),Credit_Limit,Total_Revolving_Bal (Balance unpaid at month end),Total_Amt_Chng_Q4_Q1(Ratio Q4/Q1),Total_Trans_Ct (Transaction Count 12 months),Total_Ct_Chng_Q4_Q1 (Change in the transaction amount Q4/Q1),Avg_Utilization_Ratio (Credit usage/Total Credit available),Gender_code,Education_Level_code,Marital_Status_code,Income_Category_code,Card_Category_code
0,3,39,5,1,3,12691.0,777,1.335,42,1.625,0.061,1,3,1,2,0
1,5,44,6,1,2,8256.0,864,1.541,33,3.714,0.105,0,2,2,4,0
2,3,36,4,1,0,3418.0,0,2.594,20,2.333,0.0,1,2,1,3,0
3,4,34,3,4,1,3313.0,2517,1.405,20,2.333,0.76,0,3,3,4,0
4,3,21,5,1,0,4716.0,0,2.175,28,2.5,0.0,1,5,1,2,0
5,2,36,3,1,2,4010.0,1247,1.376,24,0.846,0.311,1,2,1,1,0
6,4,46,6,1,3,34516.0,2264,1.975,31,0.722,0.066,1,6,1,0,1
7,0,27,2,2,2,29081.0,1396,2.204,36,0.714,0.048,1,3,3,2,3
8,3,36,5,2,0,22352.0,2517,3.355,24,1.182,0.113,1,5,2,2,0
9,2,36,6,3,3,11656.0,1677,1.524,32,0.882,0.144,1,2,2,3,0
10,5,31,5,3,2,6748.0,1467,0.831,42,0.68,0.217,1,5,3,0,0
11,1,54,6,2,3,9095.0,1587,1.433,26,1.364,0.174,1,6,1,1,0
12,1,36,3,6,0,11751.0,0,3.397,17,3.25,0.0,1,0,2,3,0
13,3,30,5,1,3,8547.0,1666,1.163,33,2.0,0.195,1,2,3,2,0
14,2,48,5,2,2,2436.0,680,1.19,29,0.611,0.279,0,2,1,4,0
15,4,37,5,1,2,4234.0,972,1.707,27,1.7,0.23,1,6,3,3,0
16,4,36,6,2,3,30367.0,2362,1.708,27,0.929,0.078,1,4,2,3,0
17,3,34,4,4,1,13535.0,1291,0.653,21,1.625,0.095,1,6,1,3,0
18,1,56,2,2,3,3193.0,2517,1.831,30,1.143,0.788,1,3,1,1,0
19,2,37,6,1,2,14470.0,1157,0.966,21,0.909,0.08,0,2,1,5,0
20,1,42,5,2,0,20979.0,1800,0.906,27,0.929,0.086,1,1,0,2,0
21,0,49,2,3,3,1438.3,0,1.047,16,0.6,0.0,0,2,1,4,0
22,3,33,4,2,1,4470.0,680,1.608,18,1.571,0.152,1,3,1,1,0
23,4,36,3,3,2,2492.0,1560,0.573,23,0.353,0.626,0,6,2,4,0
24,2,42,4,2,3,12217.0,0,1.075,21,0.75,0.0,1,6,1,3,0
25,3,28,6,1,2,7768.0,1669,0.797,22,0.833,0.215,0,2,2,4,0
26,1,46,4,1,2,14784.0,1374,0.921,23,1.3,0.093,1,3,3,1,0
27,1,56,3,3,2,10215.0,1010,0.843,40,1.0,0.099,1,6,1,2,0
28,3,34,5,2,2,10100.0,0,0.525,18,1.571,0.0,0,5,2,5,0
29,4,42,6,0,0,4785.0,1362,0.739,38,0.9,0.285,1,3,1,1,0
30,3,33,3,2,3,2753.0,1811,0.977,25,2.571,0.658,1,6,1,3,0
31,2,48,2,5,1,2451.0,1690,1.323,26,1.6,0.69,1,5,1,2,0
32,4,36,4,1,2,8923.0,2517,1.726,24,1.667,0.282,1,2,1,2,0
33,2,38,5,2,3,2650.0,1490,1.75,28,1.0,0.562,0,0,1,4,0
34,0,49,6,2,2,12555.0,1696,0.519,24,0.714,0.135,1,2,1,3,0
35,1,36,4,2,1,3520.0,1914,0.51,43,0.483,0.544,0,0,2,4,0
36,3,36,6,2,3,3035.0,2298,1.724,37,1.176,0.757,0,2,1,4,0
37,4,36,2,3,3,15433.0,0,0.865,22,1.2,0.0,0,3,1,4,1
38,1,49,3,3,2,3672.0,886,1.32,28,0.556,0.241,0,2,3,1,0
39,0,56,5,4,3,7882.0,605,1.052,16,0.143,0.077,0,1,1,5,0
