,Dependent_count,Months_on_book (Length of relationship with bansk[months]),Total_Relationship_Count (How many products with customer) ,Months_Inactive_12_mon (Card not used),Contacts_Count_12_mon (Number of contacts in 12 months),Credit_Limit,Total_Revolving_Bal (Balance unpaid at month end),Total_Amt_Chng_Q4_Q1(Ratio Q4/Q1),Total_Trans_Ct (Transaction Count 12 months),Total_Ct_Chng_Q4_Q1 (Change in the transaction amount Q4/Q1),Avg_Utilization_Ratio (Credit usage/Total Credit available),Gender_code,Education_Level_code,Marital_Status_code,Income_Category_code,Card_Category_code
415,2,38,3,2,0,8077.0,1965,0.637,26,0.444,0.243,1,4,1,2,0
3749,0,51,4,2,2,8476.0,0,0.675,67,0.489,0.0,0,3,2,5,0
9295,0,19,1,1,3,34516.0,1131,0.715,112,0.75,0.033,1,0,3,3,3
8290,1,36,1,1,3,3040.0,2517,0.774,61,1.033,0.828,0,6,1,4,0
7672,3,36,2,3,3,2228.0,0,0.686,45,0.607,0.0,0,3,2,4,0
759,3,36,3,2,3,12605.0,1449,0.703,56,0.647,0.115,0,0,1,5,0
1385,0,42,6,4,3,8377.0,1211,0.813,44,1.2,0.145,1,5,2,2,0
654,0,35,6,1,3,5923.0,1686,0.702,35,0.591,0.285,0,0,0,4,0
1201,1,47,4,1,3,3416.0,2468,0.598,42,0.556,0.722,0,6,1,4,0
2413,3,43,6,2,2,2423.0,1773,0.574,64,0.362,0.732,0,2,2,4,0
5936,2,36,5,4,2,33142.0,0,0.846,63,0.575,0.0,1,0,1,3,0
4397,4,38,4,2,2,2655.0,1650,0.701,62,0.59,0.621,0,2,1,4,0
8714,4,36,2,2,1,34516.0,1635,0.768,86,0.564,0.047,1,2,2,0,3
9406,1,37,1,2,2,18349.0,1209,0.738,110,0.803,0.066,1,6,2,2,0
6670,2,25,5,3,1,3288.0,2495,0.805,83,0.886,0.759,0,6,2,5,0
3044,3,30,3,2,4,19711.0,0,1.037,72,1.0,0.0,1,2,2,2,0
2830,4,35,5,2,3,2722.0,1473,0.737,69,0.683,0.541,0,5,2,4,0
7038,4,29,6,3,3,8700.0,1742,0.454,50,0.613,0.2,1,4,1,0,0
328,3,36,6,2,2,13399.0,2505,0.627,31,0.824,0.187,1,4,3,3,0
5317,2,46,4,3,3,2611.0,1573,0.902,68,0.581,0.602,0,6,1,4,0
6169,3,33,6,3,2,15468.0,1187,0.93,81,0.841,0.077,1,0,3,2,0
8198,2,36,1,3,1,2816.0,2517,0.742,87,0.776,0.894,0,3,1,4,0
2063,1,36,6,2,2,16594.0,1931,0.702,47,0.808,0.116,0,3,2,5,0
6760,2,36,5,4,1,2428.0,2005,0.835,68,0.659,0.826,0,0,1,1,0
3033,2,43,4,2,4,4039.0,1397,0.396,36,0.286,0.346,1,4,1,3,0
8501,1,20,2,2,3,4883.0,0,0.724,82,1.0,0.0,0,2,2,1,0
3528,1,32,6,1,4,5916.0,983,0.761,75,0.974,0.166,0,6,2,5,0
9397,1,37,2,3,1,34516.0,2417,0.947,117,0.625,0.07,1,2,1,0,1
4993,2,50,4,3,3,5386.0,0,0.777,84,0.68,0.0,0,2,2,1,0
1281,4,36,4,1,3,2972.0,2160,0.956,62,0.676,0.727,0,0,1,4,0
3019,2,23,6,2,1,18332.0,1376,0.6,67,0.675,0.075,0,2,0,5,0
8187,2,43,1,2,2,2041.0,1158,0.563,63,0.432,0.567,0,3,1,4,0
9410,2,24,2,3,2,4178.0,2463,0.815,107,0.814,0.59,1,4,2,3,0
2636,1,53,4,1,2,6128.0,1895,0.583,42,0.355,0.309,1,2,1,1,0
8387,4,23,1,2,3,2647.0,1245,0.712,82,0.864,0.47,0,2,1,1,0
6623,2,28,6,2,1,1820.0,0,0.658,67,0.811,0.0,0,0,1,1,0
4610,0,36,5,1,3,3532.0,869,1.038,64,0.778,0.246,0,3,0,4,0
3018,3,25,3,3,4,18293.0,0,0.571,63,0.432,0.0,1,2,2,2,0
2945,1,28,3,3,4,4683.0,2514,0.58,45,0.731,0.537,1,5,1,4,0
