,Attrition_Flag_code
415,1
3749,1
9295,1
8290,1
7672,0
759,1
1385,1
654,1
1201,1
2413,1
5936,1
4397,1
8714,1
9406,1
6670,1
3044,1
2830,1
7038,0
328,1
5317,1
6169,1
8198,1
2063,1
6760,1
3033,1
8501,1
3528,1
9397,1
4993,1
1281,1
3019,1
8187,1
9410,1
2636,1
8387,1
6623,1
4610,1
3018,1
2945,1
5007,1
4022,1
4194,0
2663,1
9890,1
1282,1
7478,0
1362,1
4030,0
1437,1
9751,1
8481,1
56,1
6622,0
8588,1
10073,1
1844,1
7447,1
8686,1
5735,1
2880,1
1743,1
8506,1
9257,1
4464,1
3787,1
740,1
6558,1
5903,1
1624,1
524,1
6778,0
4338,1
5582,1
6880,1
3397,1
435,1
5953,0
9599,0
308,1
1565,1
2631,1
5758,1
8494,1
401,0
4055,1
3068,1
881,0
434,1
7836,0
3465,1
7487,1
8514,1
4957,0
5900,1
5714,0
288,0
8474,1
8431,0
2623,1
6113,0
476,1
7225,1
9271,1
7853,1
7902,0
8761,1
737,1
4299,1
5821,1
7868,1
5563,1
5723,1
8334,0
4271,1
5265,0
4751,1
9120,0
9374,1
1839,1
1995,1
2399,1
7176,1
3464,1
8210,1
3724,1
800,1
8929,1
5841,1
1405,1
5940,1
69,1
7742,1
2759,1
8987,1
1586,1
4381,1
5743,1
1074,0
6754,1
5491,0
10053,1
9188,1
2603,1
9672,0
1579,1
3298,1
5761,1
3761,1
409,1
3379,1
4476,1
5762,1
5384,0
4004,1
3091,1
2726,1
477,1
1329,1
2283,1
9765,1
8565,1
1777,1
7445,1
751,1
5961,1
4193,1
9392,1
9944,1
6069,1
5288,1
4081,1
8486,0
5298,1
468,1
1545,1
6495,1
2683,1
10065,0
6364,1
1025,0
4121,1
9523,1
5524,1
2354,1
9245,0
3819,1
773,1
8443,1
8925,1
7815,1
9746,1
641,1
4353,1
4504,1
7372,0
7580,1
3746,1
8641,1
1108,1
4461,1
3707,1
1420,1
5144,1
8752,0
5049,1
5376,1
5079,1
5657,1
8026,0
1680,1
6906,1
633,1
2569,1
8183,1
7538,1
2166,1
363,1
6959,1
2825,1
5372,0
6427,1
7728,1
10012,1
5908,1
6682,1
4326,1
4209,1
1172,1
7149,1
4342,1
4060,1
2576,1
1989,1
7171,1
3279,1
8328,1
9137,0
5730,1
2628,1
9423,1
1410,1
5632,0
4097,1
6552,1
9866,1
9224,0
7100,1
815,1
2404,1
7431,1
10082,1
7110,1
2131,1
1797,1
3090,1
4302,0
4693,0
3122,1
6673,0
4343,0
122,1
179,1
9370,1
5684,1
4862,1
6433,1
10005,1
1157,1
237,1
1532,1
8981,1
6487,1
9230,0
1535,1
7779,1
7900,0
2605,1
5843,1
7299,1
7666,0
2177,1
8201,0
2351,1
6209,1
3422,1
8560,1
2134,1
1480,1
2793,0
4981,1
9904,1
10060,1
8804,1
6699,1
7197,1
8782,1
7636,1
4619,1
4205,1
3838,1
1952,1
555,1
4385,1
1163,1
1584,1
6332,1
3643,1
6006,1
8968,1
8881,0
8128,1
9391,1
1598,1
7386,1
300,1
8517,1
9783,1
9217,1
9395,1
4775,1
6224,1
4459,1
2858,1
7226,0
9958,1
3142,1
1359,1
4661,0
1935,1
3205,1
5851,0
486,1
9182,1
4472,1
9848,0
5354,1
5378,1
4222,1
3337,1
7990,0
1152,1
5538,1
9864,1
3944,1
8071,1
5013,1
4007,1
6372,1
9825,1
8376,1
7782,0
7507,1
665,1
6085,0
6615,1
9154,1
642,1
9362,1
176,1
6220,1
10036,1
5508,1
786,1
6867,1
9913,1
8734,1
