,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,Game_Type,UID_STG,PIE,PER
24,2004-05,2776,Pape Sow,1610612761,TOR,Toronto Raptors,0020401218,2005-04-20T00:00:00,TOR vs. CLE,L,22.13333333333333,2,4,0.5,0,0,0.0,2,2,1.0,0,3,3,0,0,2,1,1,5,0,6,-14,0,0,Regular Season,2004-0516106127610020401218,6.617647058823531,13.209262048192771
65,2004-05,1425,Aaron Williams,1610612761,TOR,Toronto Raptors,0020401218,2005-04-20T00:00:00,TOR vs. CLE,L,5.133333333333334,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,Regular Season,2004-0516106127610020401218,-2.9411764705882346,-15.268831168831166
106,2004-05,1747,Rafer Alston,1610612761,TOR,Toronto Raptors,0020401218,2005-04-20T00:00:00,TOR vs. CLE,L,17.25,1,4,0.25,1,3,0.333,0,0,0.0,0,0,0,1,0,0,0,0,1,0,3,-17,0,0,Regular Season,2004-0516106127610020401218,0.0,2.179710144927536
125,2004-05,1960,Milt Palacio,1610612761,TOR,Toronto Raptors,0020401218,2005-04-20T00:00:00,TOR vs. CLE,L,12.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,0,2,-11,0,0,Regular Season,2004-0516106127610020401218,2.2058823529411766,8.78825
131,2004-05,2241,Omar Cook,1610612761,TOR,Toronto Raptors,0020401218,2005-04-20T00:00:00,TOR vs. CLE,L,30.75,9,14,0.643,0,1,0.0,1,2,0.5,1,2,3,9,2,2,1,1,0,0,19,8,0,0,Regular Season,2004-0516106127610020401218,36.76470588235294,33.296943089430904
174,2004-05,2547,Chris Bosh,1610612761,TOR,Toronto Raptors,0020401218,2005-04-20T00:00:00,TOR vs. CLE,L,33.11666666666667,4,9,0.444,0,0,0.0,3,4,0.75,2,3,5,0,2,1,2,1,4,0,11,-1,0,0,Regular Season,2004-0516106127610020401218,7.352941176470589,10.460654252642174
181,2004-05,2588,Matt Bonner,1610612761,TOR,Toronto Raptors,0020401218,2005-04-20T00:00:00,TOR vs. CLE,L,16.183333333333334,3,4,0.75,1,1,1.0,0,0,0.0,0,2,2,1,1,0,0,0,3,0,7,8,0,0,Regular Season,2004-0516106127610020401218,7.352941176470589,14.148444902162721
233,2004-05,2050,Morris Peterson,1610612761,TOR,Toronto Raptors,0020401218,2005-04-20T00:00:00,TOR vs. CLE,L,35.85,6,15,0.4,0,1,0.0,4,4,1.0,2,7,9,1,2,1,0,1,3,0,16,-17,0,0,Regular Season,2004-0516106127610020401218,17.647058823529417,12.851241283124134
255,2004-05,147,Jalen Rose,1610612761,TOR,Toronto Raptors,0020401218,2005-04-20T00:00:00,TOR vs. CLE,L,45.75,8,21,0.381,1,4,0.25,8,8,1.0,1,7,8,1,3,0,0,2,3,0,25,-8,0,0,Regular Season,2004-0516106127610020401218,21.323529411764707,12.41377049180328
261,2004-05,2737,Rafael Araujo,1610612761,TOR,Toronto Raptors,0020401218,2005-04-20T00:00:00,TOR vs. CLE,L,21.83333333333333,2,5,0.4,0,0,0.0,2,4,0.5,1,5,6,1,1,0,0,0,4,0,6,11,0,0,Regular Season,2004-0516106127610020401218,3.6764705882352944,6.071770992366414
