,,,,Salary,Salary,Salary,Salary,Salary,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Player Name,Tm,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,Signed Using,Guaranteed
1,Stephen Curry\curryst01,Stephen Curry,GSW,"$11,370,786","$12,112,359","$37,457,154","$37,457,154","$40,231,758","$43,006,362","$45,780,966",,,,,Bird Rights,"$88,787,328"
2,Russell Westbrook\westbru01,Russell Westbrook,WAS,"$16,744,218","$26,540,100","$28,530,608","$35,654,150","$38,506,482","$41,358,814","$44,211,146","$47,063,478",,,,Bird Rights,"$85,569,960"
3,Chris Paul\paulch01,Chris Paul,PHO,"$21,468,695","$22,868,827","$24,599,495","$35,654,150","$38,506,482","$41,358,814","$44,211,146",,,,,Bird Rights,"$41,358,814"
4,John Wall\walljo01,John Wall,HOU,"$15,851,950","$16,957,900","$19,169,800","$19,169,800","$38,199,000","$41,254,920","$44,310,840","$47,366,760",,,,Bird Rights,"$85,565,760"
5,James Harden\hardeja01,James Harden,BRK,"$15,756,438","$26,540,100","$28,299,399","$30,421,854","$38,199,000","$40,824,000","$43,848,000","$46,872,000",,,,Bird Rights,"$84,672,000"
6,LeBron James\jamesle01,LeBron James,LAL,"$22,970,500","$30,963,450",#N/A,"$35,654,150","$37,436,858","$39,219,565","$41,180,544","$44,474,988",,,,Cap Space,"$124,875,097"
7,Kevin Durant\duranke01,Kevin Durant,BRK,"$20,158,622","$26,540,100",#N/A,"$30,000,000","$38,199,000","$39,058,950","$40,918,900","$42,778,850",,,,Sign and Trade,"$79,977,850"
8,Blake Griffin\griffbl01,Blake Griffin,DET,"$18,907,726","$20,140,839","$32,088,932","$32,088,932","$34,449,964","$36,595,996","$38,957,028",,,,,Bird Rights,"$36,595,996"
9,Paul George\georgpa01,Paul George,LAC,"$17,120,106","$18,314,532","$19,508,958","$30,560,700","$30,560,700","$35,450,412","$39,344,970","$42,492,568","$45,640,165","$48,787,763",,Maximum Salary,"$162,928,115"
10,Klay Thompson\thompkl01,Klay Thompson,GSW,"$15,501,000","$16,663,575","$17,826,150","$18,988,725","$32,742,000","$35,361,360","$37,980,720","$40,600,080","$43,219,440",,,Bird Rights,"$157,161,600"
11,Mike Conley\conlemi01,Mike Conley,UTA,"$9,588,426","$26,540,100","$28,530,608","$30,521,115","$32,511,624","$34,504,132",,,,,,Cap Space,"$34,504,132"
12,Jimmy Butler\butleji01,Jimmy Butler,MIA,"$16,407,500","$17,552,209","$19,301,070","$20,445,779","$32,742,000","$34,379,100","$36,016,200","$37,653,300",,,,Sign and Trade,"$70,395,300"
13,Kemba Walker\walkeke02,Kemba Walker,BOS,"$12,000,000","$12,000,000","$12,000,000","$12,000,000","$32,742,000","$34,379,100","$36,016,200","$37,653,300",,,,Sign and Trade,"$70,395,300"
14,Kawhi Leonard\leonaka01,Kawhi Leonard,LAC,"$16,407,500","$17,638,063","$18,868,626","$23,114,067","$32,742,000","$34,379,100","$36,016,200",,,,,Cap Space,"$34,379,100"
15,Tobias Harris\harrito02,Tobias Harris,PHI,"$16,000,000","$17,200,000","$16,000,000","$14,800,000","$32,742,000","$33,517,241","$36,000,000","$38,482,759","$40,965,517",,,Bird Rights,"$148,965,517"
16,Kyrie Irving\irvinky01,Kyrie Irving,BRK,"$16,407,501","$17,638,063","$18,868,626","$20,099,189","$31,742,000","$33,329,100","$34,916,200","$36,503,300",,,,Cap space,"$104,748,600"
17,Khris Middleton\middlkh01,Khris Middleton,MIL,"$14,700,000","$15,200,000","$1,300,000","$13,000,000","$30,603,448","$33,051,724","$35,500,000","$37,948,276","$40,396,552",,,Bird Rights,"$106,500,000"
18,Anthony Davis\davisan02,Anthony Davis,LAL,"$7,070,730","$22,116,750","$23,775,506","$25,434,263","$27,093,018","$32,742,000","$35,361,360","$37,980,720","$40,600,080","$43,219,440",,Bird,"$146,684,160"
19,Damian Lillard\lillada01,Damian Lillard,POR,"$4,236,287","$24,328,425","$26,153,057","$27,977,689","$29,802,321","$31,626,953","$43,750,000","$47,250,000","$50,750,000","$54,250,000",,1st Round Pick,"$227,626,953"
20,Kevin Love\loveke01,Kevin Love,CLE,"$19,689,000","$21,165,675","$24,119,025","$24,119,025","$28,942,830","$31,300,000","$31,300,000","$28,900,000",,,,Bird Rights,"$91,500,000"
21,Kyle Lowry\lowryky01,Kyle Lowry,TOR,"$12,000,000","$12,000,000","$31,200,000","$31,200,000","$34,996,296","$30,000,000",,,,,,Bird Rights,"$30,000,000"
22,Joel Embiid\embiijo01,Joel Embiid,PHI,"$4,626,960","$4,826,160","$25,250,000","$25,467,250","$27,504,630","$29,542,010","$31,579,390","$33,616,770",,,,1st Round Pick,"$94,738,170"
23,Andrew Wiggins\wiggian01,Andrew Wiggins,GSW,"$5,758,680","$6,006,600","$7,574,323","$25,467,250","$27,504,630","$29,542,010","$31,579,390","$33,616,770",,,,1st Round Pick,"$94,738,170"
24,Kristaps Porziņģis\porzikr01,Kristaps Porzingis,DAL,#N/A,#N/A,#N/A,#N/A,#N/A,"$29,467,800","$31,650,600","$33,833,400","$36,016,200",,,Bird Rights,"$94,951,800"
25,Devin Booker\bookede01,Devin Booker,PHO,"$2,127,840","$2,223,600","$2,319,360","$3,314,365","$27,285,000","$29,430,000","$31,610,000","$33,790,000","$35,970,000",,,1st round pick,"$130,800,000"
26,Karl-Anthony Towns\townska01,Karl-Anthony Towns,MIN,"$5,703,600","$5,960,160","$6,216,840","$7,839,435","$27,285,000","$29,430,000","$31,610,000","$33,790,000","$35,970,000",,,1st Round Pick,"$128,620,000"
27,CJ McCollum\mccolcj01,CJ McCollum,POR,"$2,525,160","$3,219,579","$23,962,573","$25,759,766","$27,556,959","$29,354,152","$30,864,198","$33,333,333","$35,802,469",,,1st Round Pick,"$129,354,152"
28,Ben Simmons\simmobe01,Ben Simmons,PHI,#N/A,"$5,903,160","$6,434,520","$6,434,520","$8,113,930","$29,250,000","$31,590,000","$33,930,000","$36,270,000","$38,610,000",,1st Round pick,"$169,650,000"
29,Jamal Murray\murraja01,Jamal Murray,DEN,#N/A,"$3,210,840","$3,355,320","$3,499,800","$4,444,746","$29,250,000","$31,590,000","$33,930,000","$36,270,000","$38,610,000",,1st Round pick,"$169,650,000"
30,Pascal Siakam\siakapa01,Pascal Siakam,TOR,#N/A,"$1,196,040","$1,544,951","$1,544,951","$2,351,839","$29,000,000","$31,320,000","$33,640,000","$35,960,000",,,1st Round pick,"$129,920,000"
31,Bradley Beal\bealbr01,Bradley Beal,WAS,"$5,694,674","$22,116,750","$25,434,263","$25,434,263","$27,093,019","$28,751,775","$34,502,130","$37,262,300",,,,Cap Space,"$63,253,905"
32,Andre Drummond\drumman01,Andre Drummond,CLE,"$3,272,091","$22,116,750","$25,434,263","$25,434,263","$27,093,019","$28,751,775",,,,,,Cap Space,"$28,751,775"
33,D'Angelo Russell\russeda01,D'Angelo Russell,MIN,"$5,103,120","$5,332,800","$7,019,698","$7,019,698","$27,285,000","$28,649,250","$30,013,500","$31,377,750",,,,Sign and Trade,"$90,040,500"
34,Nikola Jokić\jokicni01,Nikola Jokic,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,"$28,542,009","$30,510,423","$32,478,837",,,,Bird Rights,"$91,531,269"
35,Gordon Hayward\haywago01,Gordon Hayward,CHO,"$15,409,570","$16,073,140","$29,727,900","$31,214,295","$32,700,690","$28,500,000","$29,900,000","$30,100,000","$31,500,000",,,Sign and Trade,"$120,000,000"
36,Otto Porter\porteot01,Otto Porter,CHI,#N/A,#N/A,#N/A,#N/A,#N/A,"$28,489,239",,,,,,Bird Rights,"$28,489,239"
37,DeMar DeRozan\derozde01,DeMar DeRozan,SAS,"$10,050,000","$26,540,100","$27,739,975","$27,739,975","$27,739,975","$27,739,975",,,,,,Cap Space,"$27,739,975"
38,Giannis Antetokounmpo\antetgi01,Giannis Antetokounmpo,MIL,"$1,953,960","$2,995,421","$24,157,303","$24,157,303","$25,842,697","$27,528,090","$39,344,970","$42,492,568","$45,640,165","$48,787,763","$51,935,360",1st Round Pick,"$203,793,556"
39,Steven Adams\adamsst01,Steven Adams,NOP,"$2,279,040","$3,140,517","$22,471,910","$24,157,303","$25,842,697","$27,528,090","$17,073,171","$17,926,829",,,,1st Round Pick,"$62,528,090"
40,Al Horford\horfoal01,Al Horford,OKC,"$12,000,000","$26,540,100","$27,734,406","$28,928,709","$28,000,000","$27,500,000","$27,000,000","$26,500,000",,,,Cap Space,"$69,000,000"
41,Brandon Ingram\ingrabr01,Brandon Ingram,NOP,#N/A,"$5,281,680","$5,519,400","$5,757,120","$7,265,485","$27,285,000","$29,467,800","$31,650,600","$33,833,400","$36,016,200",,Bird,"$158,253,000"
42,Nicolas Batum\batumni01,Nicolas Batum,CHO,"$13,125,306","$20,869,566","$24,000,000","$24,000,000","$25,565,217","$29,695,187",,,,,,,"$27,130,434"
43,Rudy Gobert\goberru01,Rudy Gobert,UTA,"$1,175,880","$2,121,288","$21,924,719","$23,241,573","$23,241,573","$26,525,281","$35,344,828","$38,172,414","$41,000,000","$43,827,587","$46,655,173",1st Round Pick,"$184,870,110"
44,Jrue Holiday\holidjr01,Jrue Holiday,MIL,"$10,595,507","$11,286,518","$25,686,667","$25,976,111","$26,231,111","$26,131,111","$27,020,000",,,,,Bird Rights,"$26,131,111"
45,Nikola Vučević\vucevni01,Nikola Vucevic,ORL,#N/A,#N/A,#N/A,#N/A,#N/A,"$26,000,000","$24,000,000","$22,000,000",,,,Bird Rights,"$72,000,000"
46,Buddy Hield\hieldbu01,Buddy Hield,SAC,#N/A,"$3,517,200","$3,675,480","$3,844,760","$4,861,208","$24,431,818","$22,477,273","$20,522,727","$18,568,182",,,1st Round pick,"$86,000,000"
47,LaMarcus Aldridge\aldrila01,LaMarcus Aldridge,SAS,"$19,689,000","$20,575,005","$21,461,010","$22,347,015","$26,000,000","$24,000,000",,,,,,Cap Space,"$24,000,000"
48,Jaylen Brown\brownja02,Jaylen Brown,BOS,#N/A,"$4,743,000","$4,956,480","$5,169,960","$6,534,829","$22,991,071","$24,830,357","$26,669,643","$28,508,929",,,1st Round pick,"$103,000,000"
49,Draymond Green\greendr01,Draymond Green,GSW,"$14,260,870","$15,330,435","$17,469,565","$17,469,565","$18,539,130","$22,246,956","$24,026,712","$25,806,469","$27,586,225",,,Bird Rights,"$72,080,137"
50,Harrison Barnes\barneha02,Harrison Barnes,SAC,"$3,873,398","$22,116,750","$23,112,004","$24,107,258","$24,147,727","$22,215,909","$20,284,091","$18,352,273",,,,Bird Rights,"$60,852,273"
51,Fred VanVleet\vanvlfr01,Fred VanVleet,TOR,#N/A,"$543,471",#N/A,"$8,653,847","$9,346,153","$21,250,000","$19,675,926","$21,250,000","$22,824,074",,,Bird,"$62,175,926"
52,Victor Oladipo\oladivi01,Victor Oladipo,HOU,"$5,192,520","$6,552,961","$21,000,000","$21,000,000","$21,000,000","$21,000,000",,,,,,1st Round Pick,"$21,000,000"
53,Malcolm Brogdon\brogdma01,Malcolm Brogdon,IND,#N/A,"$925,000","$1,544,951","$1,544,951","$20,000,000","$20,700,000","$21,700,000","$22,600,000",,,,Sign and Trade,"$65,000,000"
54,Danilo Gallinari\gallida01,Danilo Gallinari,ATL,"$14,000,000","$15,050,000","$20,559,599","$21,587,579","$22,615,559","$19,500,000","$20,475,000","$21,450,000",,,,Sign and Trade,"$44,975,000"
55,Zach LaVine\lavinza01,Zach LaVine,CHI,"$2,148,360","$2,240,880",#N/A,"$19,500,000","$19,500,000","$19,500,000","$19,500,000",,,,,Cap space,"$39,000,000"
56,Gary Harris\harriga01,Gary Harris,DEN,"$1,584,480","$1,655,880","$2,550,055","$16,517,857","$17,839,286","$19,160,714","$20,482,143",,,,,1st Round Pick,"$39,642,857"
57,Jerami Grant\grantje01,Jerami Grant,DET,"$845,059","$980,431","$1,524,305","$8,653,847","$9,346,153","$19,047,619","$20,000,000","$20,952,381",,,,Sign and Trade,"$60,000,000"
