,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,Game_Type,UID_STG,PIE,PER,SALARY
0,2019-20,201188,Marc Gasol,1610612761,TOR,Toronto Raptors,21901318,2020-08-14T00:00:00,TOR vs. DEN,W,16.71666667,1.0,3.0,0.33299999999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,-2.0,0,0,Regular Season,2019-2016106127610021901318,5.188679245,10.52727817,25595700.0
1,2019-20,1626178,Rondae Hollis-Jefferson,1610612761,TOR,Toronto Raptors,21901318,2020-08-14T00:00:00,TOR vs. DEN,W,22.3,3.0,9.0,0.33299999999999996,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,6.0,11.0,0,0,Regular Season,2019-2016106127610021901318,5.188679245,9.500313901,2500000.0
2,2019-20,1628778,Paul Watson,1610612761,TOR,Toronto Raptors,21901318,2020-08-14T00:00:00,TOR vs. DEN,W,27.46666667,8.0,13.0,0.615,4.0,6.0,0.667,2.0,3.0,0.667,0.0,6.0,6.0,2.0,1.0,1.0,0.0,1.0,2.0,4.0,22.0,8.0,0,0,Regular Season,2019-2016106127610021901318,20.75471698,32.59241505,79568.0
3,2019-20,1626259,Malcolm Miller,1610612761,TOR,Toronto Raptors,21901318,2020-08-14T00:00:00,TOR vs. DEN,W,25.61666667,4.0,5.0,0.8,2.0,3.0,0.667,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,10.0,3.0,0,0,Regular Season,2019-2016106127610021901318,8.962264151,20.938945999999998,1588231.0
4,2019-20,1629744,Matt Thomas,1610612761,TOR,Toronto Raptors,21901318,2020-08-14T00:00:00,TOR vs. DEN,W,28.3,4.0,6.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,4.0,2.0,12.0,7.0,0,0,Regular Season,2019-2016106127610021901318,8.962264151,16.88441696,898310.0
5,2019-20,1628449,Chris Boucher,1610612761,TOR,Toronto Raptors,21901318,2020-08-14T00:00:00,TOR vs. DEN,W,21.5,3.0,8.0,0.375,1.0,3.0,0.33299999999999996,2.0,3.0,0.667,4.0,5.0,9.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,9.0,5.0,0,0,Regular Season,2019-2016106127610021901318,7.075471697999999,17.13376744,1588231.0
6,2019-20,1629056,Terence Davis,1610612761,TOR,Toronto Raptors,21901318,2020-08-14T00:00:00,TOR vs. DEN,W,34.03333333,5.0,15.0,0.33299999999999996,2.0,6.0,0.33299999999999996,2.0,2.0,1.0,1.0,5.0,6.0,3.0,3.0,2.0,0.0,3.0,2.0,1.0,14.0,6.0,0,0,Regular Season,2019-2016106127610021901318,8.962264151,10.67673849,898310.0
7,2019-20,1629608,Dewan Hernandez,1610612761,TOR,Toronto Raptors,21901318,2020-08-14T00:00:00,TOR vs. DEN,W,12.7,2.0,6.0,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0,0,Regular Season,2019-2016106127610021901318,5.188679245,13.56204724,898310.0
8,2019-20,1626181,Norman Powell,1610612761,TOR,Toronto Raptors,21901318,2020-08-14T00:00:00,TOR vs. DEN,W,22.8,6.0,9.0,0.667,3.0,5.0,0.6,0.0,0.0,0.0,1.0,5.0,6.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,15.0,-3.0,0,0,Regular Season,2019-2016106127610021901318,15.09433962,27.73192982,10116576.0
9,2019-20,1629608,Dewan Hernandez,1610612761,TOR,Toronto Raptors,21901305,2020-08-12T00:00:00,TOR @ PHI,W,4.185,2.0,3.0,0.667,1.0,1.0,1.0,1.0,3.0,0.33299999999999996,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,10.0,0,0,Regular Season,2019-2016106127610021901305,3.7037037039999996,49.34456392,898310.0
